 Deterministic 1
Time    Water Surface Elevation(WSE)    WSE + Water Depth
 0.10000E+00   0.00000E+00   0.50000E+02
END

COORDINATE(@W.L)    Water Surface Elevation(WSE)    WSE + Water Depth
-0.30000E+02   0.00000E+00   0.50000E+02
-0.29000E+02   0.00000E+00   0.50000E+02
-0.28000E+02   0.00000E+00   0.50000E+02
-0.27000E+02   0.00000E+00   0.50000E+02
-0.26000E+02   0.00000E+00   0.50000E+02
-0.25000E+02   0.00000E+00   0.50000E+02
-0.24000E+02   0.00000E+00   0.50000E+02
-0.23000E+02   0.00000E+00   0.50000E+02
-0.22000E+02   0.00000E+00   0.50000E+02
-0.21000E+02   0.00000E+00   0.50000E+02
-0.20000E+02   0.00000E+00   0.50000E+02
-0.19000E+02   0.00000E+00   0.50000E+02
-0.18000E+02   0.00000E+00   0.50000E+02
-0.17000E+02   0.00000E+00   0.50000E+02
-0.16000E+02   0.00000E+00   0.50000E+02
-0.15000E+02   0.00000E+00   0.50000E+02
-0.14000E+02   0.00000E+00   0.50000E+02
-0.13000E+02   0.00000E+00   0.50000E+02
-0.12000E+02   0.00000E+00   0.50000E+02
-0.11000E+02   0.00000E+00   0.50000E+02
-0.10000E+02   0.00000E+00   0.50000E+02
-0.90000E+01   0.00000E+00   0.50000E+02
-0.80000E+01   0.00000E+00   0.50000E+02
-0.70000E+01   0.00000E+00   0.50000E+02
-0.60000E+01   0.00000E+00   0.50000E+02
-0.50000E+01   0.00000E+00   0.50000E+02
-0.40000E+01   0.00000E+00   0.50000E+02
-0.30000E+01   0.00000E+00   0.50000E+02
-0.20000E+01   0.00000E+00   0.50000E+02
-0.10000E+01   0.00000E+00   0.50000E+02
 0.00000E+00   0.00000E+00   0.50000E+02
 0.10000E+01   0.00000E+00   0.50000E+02
 0.20000E+01   0.00000E+00   0.50000E+02
 0.30000E+01   0.00000E+00   0.50000E+02
 0.40000E+01   0.00000E+00   0.50000E+02
 0.50000E+01   0.00000E+00   0.50000E+02
 0.60000E+01   0.00000E+00   0.50000E+02
 0.70000E+01   0.00000E+00   0.50000E+02
 0.80000E+01   0.00000E+00   0.50000E+02
 0.90000E+01   0.00000E+00   0.50000E+02
 0.10000E+02   0.00000E+00   0.50000E+02
 0.11000E+02   0.00000E+00   0.50000E+02
 0.12000E+02   0.00000E+00   0.50000E+02
 0.13000E+02   0.00000E+00   0.50000E+02
 0.14000E+02   0.00000E+00   0.50000E+02
 0.15000E+02   0.00000E+00   0.50000E+02
 0.16000E+02   0.00000E+00   0.50000E+02
 0.17000E+02   0.00000E+00   0.50000E+02
 0.18000E+02   0.00000E+00   0.50000E+02
 0.19000E+02   0.00000E+00   0.50000E+02
 0.20000E+02   0.00000E+00   0.50000E+02
 0.21000E+02   0.00000E+00   0.50000E+02
 0.22000E+02   0.00000E+00   0.50000E+02
 0.23000E+02   0.00000E+00   0.50000E+02
 0.24000E+02   0.00000E+00   0.50000E+02
 0.25000E+02   0.00000E+00   0.50000E+02
 0.26000E+02   0.00000E+00   0.50000E+02
 0.27000E+02   0.00000E+00   0.50000E+02
 0.28000E+02   0.00000E+00   0.50000E+02
 0.29000E+02   0.00000E+00   0.50000E+02
 0.30000E+02   0.00000E+00   0.50000E+02
END

 Spectral Parameters 1
Time    Water Surface Elevation(WSE)    WSE + Water Depth
 0.10000E+00   0.00000E+00   0.00000E+00
END

COORDINATE(@W.L)    Water Surface Elevation(WSE)    WSE + Water Depth
-0.30000E+02   0.00000E+00   0.00000E+00
-0.29000E+02   0.00000E+00   0.00000E+00
-0.28000E+02   0.00000E+00   0.00000E+00
-0.27000E+02   0.00000E+00   0.00000E+00
-0.26000E+02   0.00000E+00   0.00000E+00
-0.25000E+02   0.00000E+00   0.00000E+00
-0.24000E+02   0.00000E+00   0.00000E+00
-0.23000E+02   0.00000E+00   0.00000E+00
-0.22000E+02   0.00000E+00   0.00000E+00
-0.21000E+02   0.00000E+00   0.00000E+00
-0.20000E+02   0.00000E+00   0.00000E+00
-0.19000E+02   0.00000E+00   0.00000E+00
-0.18000E+02   0.00000E+00   0.00000E+00
-0.17000E+02   0.00000E+00   0.00000E+00
-0.16000E+02   0.00000E+00   0.00000E+00
-0.15000E+02   0.00000E+00   0.00000E+00
-0.14000E+02   0.00000E+00   0.00000E+00
-0.13000E+02   0.00000E+00   0.00000E+00
-0.12000E+02   0.00000E+00   0.00000E+00
-0.11000E+02   0.00000E+00   0.00000E+00
